Thursday 11 February 2021,1 USD = 14.625 ZAR
Wednesday 10 February 2021,1 USD = 14.755 ZAR
Tuesday 9 February 2021,1 USD = 14.725 ZAR
Monday 8 February 2021,1 USD = 14.866 ZAR
Sunday 7 February 2021,1 USD = 14.918 ZAR
Saturday 6 February 2021,1 USD = 14.842 ZAR
Friday 5 February 2021,1 USD = 14.840 ZAR
Thursday 4 February 2021,1 USD = 15.000 ZAR
Wednesday 3 February 2021,1 USD = 14.942 ZAR
Tuesday 2 February 2021,1 USD = 14.962 ZAR
Monday 1 February 2021,1 USD = 15.062 ZAR
Sunday 31 January 2021,1 USD = 15.186 ZAR
Saturday 30 January 2021,1 USD = 15.178 ZAR
Friday 29 January 2021,1 USD = 15.167 ZAR
Thursday 28 January 2021,1 USD = 15.211 ZAR
Wednesday 27 January 2021,1 USD = 15.289 ZAR
Tuesday 26 January 2021,1 USD = 15.064 ZAR
Monday 25 January 2021,1 USD = 15.230 ZAR
Sunday 24 January 2021,1 USD = 15.148 ZAR
Saturday 23 January 2021,1 USD = 15.154 ZAR
Friday 22 January 2021,1 USD = 15.154 ZAR
Thursday 21 January 2021,1 USD = 14.934 ZAR
Wednesday 20 January 2021,1 USD = 14.904 ZAR
Tuesday 19 January 2021,1 USD = 14.993 ZAR
Monday 18 January 2021,1 USD = 15.169 ZAR
Sunday 17 January 2021,1 USD = 15.231 ZAR
Saturday 16 January 2021,1 USD = 15.227 ZAR
Friday 15 January 2021,1 USD = 15.228 ZAR
Thursday 14 January 2021,1 USD = 15.099 ZAR
Wednesday 13 January 2021,1 USD = 15.263 ZAR
Tuesday 12 January 2021,1 USD = 15.206 ZAR
Monday 11 January 2021,1 USD = 15.539 ZAR
Sunday 10 January 2021,1 USD = 15.308 ZAR
Saturday 9 January 2021,1 USD = 15.304 ZAR
Friday 8 January 2021,1 USD = 15.300 ZAR
Thursday 7 January 2021,1 USD = 15.448 ZAR
Wednesday 6 January 2021,1 USD = 15.054 ZAR
Tuesday 5 January 2021,1 USD = 14.976 ZAR
Monday 4 January 2021,1 USD = 14.713 ZAR
Sunday 3 January 2021,1 USD = 14.653 ZAR
Saturday 2 January 2021,1 USD = 14.663 ZAR
Friday 1 January 2021,1 USD = 14.663 ZAR
Thursday 31 December 2020,1 USD = 14.662 ZAR
Wednesday 30 December 2020,1 USD = 14.644 ZAR
Tuesday 29 December 2020,1 USD = 14.716 ZAR
Monday 28 December 2020,1 USD = 14.636 ZAR
Sunday 27 December 2020,1 USD = 14.634 ZAR
Saturday 26 December 2020,1 USD = 14.576 ZAR
Friday 25 December 2020,1 USD = 14.576 ZAR
Thursday 24 December 2020,1 USD = 14.618 ZAR
Wednesday 23 December 2020,1 USD = 14.596 ZAR
Tuesday 22 December 2020,1 USD = 14.682 ZAR
Monday 21 December 2020,1 USD = 14.605 ZAR
Sunday 20 December 2020,1 USD = 14.687 ZAR
Saturday 19 December 2020,1 USD = 14.533 ZAR
Friday 18 December 2020,1 USD = 14.542 ZAR
Thursday 17 December 2020,1 USD = 14.645 ZAR
Wednesday 16 December 2020,1 USD = 14.822 ZAR
Tuesday 15 December 2020,1 USD = 14.887 ZAR
Monday 14 December 2020,1 USD = 15.031 ZAR
Sunday 13 December 2020,1 USD = 15.057 ZAR
Saturday 12 December 2020,1 USD = 15.139 ZAR
Friday 11 December 2020,1 USD = 15.140 ZAR
Thursday 10 December 2020,1 USD = 15.024 ZAR
Wednesday 9 December 2020,1 USD = 14.969 ZAR
Tuesday 8 December 2020,1 USD = 15.001 ZAR
Monday 7 December 2020,1 USD = 15.163 ZAR
Sunday 6 December 2020,1 USD = 15.200 ZAR
Saturday 5 December 2020,1 USD = 15.214 ZAR
Friday 4 December 2020,1 USD = 15.214 ZAR
Thursday 3 December 2020,1 USD = 15.187 ZAR
Wednesday 2 December 2020,1 USD = 15.290 ZAR
Tuesday 1 December 2020,1 USD = 15.246 ZAR
Monday 30 November 2020,1 USD = 15.448 ZAR
Sunday 29 November 2020,1 USD = 15.239 ZAR
Saturday 28 November 2020,1 USD = 15.266 ZAR
Friday 27 November 2020,1 USD = 15.266 ZAR
Thursday 26 November 2020,1 USD = 15.217 ZAR
Wednesday 25 November 2020,1 USD = 15.140 ZAR
Tuesday 24 November 2020,1 USD = 15.191 ZAR
Monday 23 November 2020,1 USD = 15.386 ZAR
Sunday 22 November 2020,1 USD = 15.427 ZAR
Saturday 21 November 2020,1 USD = 15.409 ZAR
